,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,V_0,T_0
239,240.0,1.0315801407772656,5.16676331208642e-05,4.2929827779554166e-07,1.0,14.861945719340412,0.0001000236272145072,0.21966431384402085,19.65188043564558,1.434535988762556e-07,1000000.0,0.0,25.0,477428.0
240,241.0,1.093303732929419,4.857253715360751e-05,4.7039761914533277e-07,1.0,12.561083565548266,0.00010678692465682094,0.2084228344062211,10.00000924617052,2.2572988647828182e-07,1000000.0,0.0,25.0,436945.3333333333
241,242.0,0.9980243458075246,5.607850788459466e-05,4.0360526473494113e-07,1.0,14.300101658600319,0.00010000086326256152,0.22511698868375873,64.8538506925106,9.417723061219441e-08,1000000.0,0.0,25.0,517910.6666666667
242,243.0,1.1205887987769072,2.2039624438306723e-05,3.2010590082146815e-07,1.0,2.933624480677537,0.06894182603875526,0.31892456029171967,10.000005289912224,1.848065313688099e-06,1000000.0,0.0,25.0,297500.0
243,244.0,1.1245928929625257,3.2082686556065595e-05,5.309478373721847e-07,1.0,9.44664134128407,0.03187062704867111,0.25376700782128125,10.005871929228306,1.2228917749577484e-07,1000000.0,0.0,25.0,378465.3333333333
244,245.0,1.1088350181886597,5.1014260652615624e-05,4.4302195665866156e-07,1.0,13.315203041086697,0.00010000024524653428,0.21559326188938144,24.451373375952244,1.1339206561047693e-07,1000000.0,0.0,25.0,477428.0
245,246.0,1.135633873530372,3.74737973159668e-05,5.188398194704808e-07,1.0,9.662341104512585,0.00010000121971498466,0.17326871975721758,42.55137801170349,1.4495820236574384e-07,1000000.0,0.0,25.0,616873.3333333334
246,247.0,1.0639670492181457,2.5301027386114512e-05,4.749660135063046e-07,1.0,2.437344001893763,0.0015282731402487815,0.2121200464123234,10.000000059604645,1.799537715233316e-06,1000000.0,0.0,25.0,418948.0
247,248.0,1.0800977061524826,4.597935263205696e-05,4.614891157312962e-07,1.0,11.209975357572397,0.0012323776603671566,0.19916579204186036,10.000008225440979,2.0533168703513983e-07,1000000.0,0.0,25.0,477428.0
248,249.0,1.1267021951357683,3.830691534679913e-05,5.403560621685172e-07,1.0,10.334910085783378,0.0001057692685447198,0.18927932809078385,10.001786589622498,1.7115212486097566e-07,1000000.0,0.0,25.0,477428.0
249,250.0,1.094780044597767,5.2932112225004986e-05,3.7695990038766217e-07,1.0,14.699028179424175,0.011955895050538012,0.24617546155896974,108.61837943643332,1.19989942495033e-10,1000000.0,0.0,25.0,576390.6666666666
250,251.0,1.096029213939493,5.529693898400335e-05,4.077643759046987e-07,1.0,15.659407937558058,0.05503189026472638,0.30940182982821796,10.000003561377525,1.7321725863192895e-07,1000000.0,0.0,25.0,297500.0
251,252.0,1.1221229042230962,4.473624300466561e-05,3.8942536236617184e-07,1.0,11.781886405538884,0.00010000291366707437,0.2280502509857243,10.763253316283226,1.3550494312753738e-07,1000000.0,0.0,25.0,477428.0
