,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
14,15.0,1.0243569511221597,4.2673992658990315e-05,4.2608261482137533e-07,1.0,10.582555449955272,0.012,0.23705672382649112,29.221252515912056,1000000.0,0.0,25.0,477428.0
15,16.0,1.148473497820597,1.626999494418088e-05,5.433378441449863e-06,1.0,1.4619865654245316,0.012,0.26321847773328244,11.587852232158184,1000000.0,0.0,25.0,297500.0
16,17.0,1.1108465872152695,3.705074434774252e-05,5.088153510209755e-07,1.0,9.411273317522856,0.012,0.21992021473075596,31.84061187505722,1000000.0,0.0,25.0,477428.0
17,18.0,1.0935275542106078,3.500250041453717e-05,5.454611826731143e-07,1.0,8.94538505597248,0.012,0.19476359633084428,10.00000000745058,1000000.0,0.0,25.0,517910.6666666667
18,19.0,1.130484151162217,1.6556426916292596e-05,4.282673263081073e-06,1.0,1.3294437017064666,0.012,0.25482372865425873,46.42425338178873,1000000.0,0.0,25.0,378465.3333333333
19,20.0,1.1248638140715415,1.8019035643855832e-05,3.7107996041239446e-06,1.0,1.4905461783091525,0.012,0.16987269040546948,10.000000029802322,1000000.0,0.0,25.0,616873.3333333334
20,21.0,1.165232833025915,4.788741927237081e-05,5.003006200130733e-07,1.0,12.349015149337916,0.012,0.2036631771899664,10.000002160668373,1000000.0,0.0,25.0,477428.0
21,22.0,1.0336555943025327,7.615803012569045e-05,5.095672710497527e-07,1.0,20.150834008372026,0.012,0.23420995235641584,10.000000029802322,1000000.0,0.0,25.0,337982.6666666667
22,23.0,1.1120158607835338,5.0421670096837275e-05,5.448010223804313e-07,1.0,14.527026754458355,0.012,0.241850164458846,10.000000290572643,1000000.0,0.0,25.0,337982.6666666667
23,24.0,1.0846014141592815,4.519693039173124e-05,4.95474110362116e-07,1.0,12.28761389418846,0.012,0.25351851988084206,10.000000163912773,1000000.0,0.0,25.0,337982.6666666667
24,25.0,1.1655420946901711,1.8137961392057387e-05,4.444807106355233e-06,1.0,1.5159258232167048,0.012,0.1988592150124191,94.43237949162722,1000000.0,0.0,25.0,576390.6666666666
25,26.0,1.0675491942329178,3.879846350859067e-05,4.576054289071751e-07,1.0,10.713994827308738,0.012,0.23633812872252946,10.000000454485416,1000000.0,0.0,25.0,436945.3333333333
26,27.0,1.1202076931292961,4.071259488633487e-05,5.130058779865402e-07,1.0,9.463800086772167,0.012,0.15181093455422,38.63532358407974,1000000.0,0.0,25.0,715836.0
27,28.0,1.128985726610316,4.655086988322072e-05,4.7319093277725237e-07,1.0,12.778187917131355,0.012,0.23044927764058798,10.000002510845661,1000000.0,0.0,25.0,418948.0
28,29.0,1.0632171073545238,3.813700299055738e-05,4.32362205562376e-07,1.0,10.175282594052554,0.012,0.25721067627332417,40.65891098231077,1000000.0,0.0,25.0,436945.3333333333
29,30.0,1.1358304423514693,6.329880929037552e-05,4.1652117792599527e-07,1.0,17.757270808251832,0.012,0.2708904014042588,10.000000387430191,1000000.0,0.0,25.0,337982.6666666667
30,31.0,1.0466823607198654,6.64812599330554e-05,3.8543989216527987e-07,1.0,19.31887447073694,0.012,0.2786826551419921,10.00000000745058,1000000.0,0.0,25.0,337982.6666666667
31,32.0,1.0705397394700016,3.556633040050256e-05,4.3112628614436644e-07,1.0,9.330596870969622,0.012,0.22267351150003378,101.05568478256464,1000000.0,0.0,25.0,616873.3333333334
32,33.0,1.1299453338005188,4.461926416211284e-05,6.127378047097903e-07,1.0,11.79155998645922,0.012,0.20914882570403392,10.000000067055225,1000000.0,0.0,25.0,378465.3333333333
33,34.0,0.9789687909530697,3.96219533177705e-05,4.266299388335442e-07,1.0,10.223231913675434,0.012,0.27902486130594184,10.00000000745058,1000000.0,0.0,25.0,337982.6666666667
34,35.0,1.017621776202398,4.763480405705089e-05,5.112608342200224e-07,1.0,12.759902260363894,0.012,0.2106859169532882,27.406553968787193,1000000.0,0.0,25.0,477428.0
35,36.0,1.220383977318915,1.8198784300324207e-05,4.6958551465631074e-06,1.0,1.4034946407861781,0.012,0.21468899433151734,59.43432120233774,1000000.0,0.0,25.0,517910.6666666667
36,37.0,1.0774056248727295,4.815550532314984e-05,5.067602306784767e-07,1.0,13.592892720194563,0.012,0.1995309629346167,108.45251299440861,1000000.0,0.0,25.0,576390.6666666666
37,38.0,1.163348810343815,3.963795413821035e-05,4.685399987933644e-07,1.0,10.097731218393562,0.012,0.25096787522088704,10.000000096857548,1000000.0,0.0,25.0,378465.3333333333
38,39.0,0.984458387606392,4.587853409859567e-05,5.186480532703256e-07,1.0,10.403928560243877,0.012,0.19704282555355235,10.0,1000000.0,0.0,25.0,477428.0
