,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0
157,158.0,1.0686405376688548,5.418782577639092,1200000.0,1.6885578638459601e-06,0.25420017873996414,3108.195607714355,0.07320733185699951,2.2660882463822017e-07,1033205.6,25.0
158,159.0,0.9919303657993571,4.724131073333638,1200000.0,1.4530830255294323e-06,0.3163723068402504,3449.3802949488163,0.0909826799364507,2.2152219780626045e-07,856929.2,25.0
159,160.0,1.03534928376714,4.860919709721863,1200000.0,1.4886830193142672e-06,0.2810109733616173,3649.2982863485813,0.07625979524891718,2.474387962207665e-07,951823.2,25.0
160,161.0,0.9022913712324794,4.920649070175649,1200000.0,1.5056977965397344e-06,0.29861629430985204,3654.7894024923444,0.08411623214290259,2.4153516118085265e-07,893860.0,25.0
161,162.0,0.986542630314246,5.310390948675234,1200000.0,1.7161766143662611e-06,0.25571016361831767,4344.021976664662,0.05307133194073549,2.6054430840572845e-07,946546.4,25.0
162,163.0,0.9031308877760231,4.984195104273574,1200000.0,1.471283023597424e-06,0.289422185081996,3929.2221324667335,0.08192850835627274,2.5376243740131914e-07,949504.4,25.0
163,164.0,0.8635503927566188,4.931387518200346,1200000.0,1.4154144690177198e-06,0.31664933723962463,4318.103289932013,0.08511575676696975,2.1476555567176122e-07,885625.2,25.0
164,165.0,1.0200337380908433,5.060665384488608,1200000.0,1.643859472705609e-06,0.28131071935640506,3234.5412086993456,0.08714827296112948,2.2558757993837778e-07,946546.4,25.0
165,166.0,0.9773362918518804,4.997251513694678,1200000.0,1.5794003015824357e-06,0.26946922759695724,3134.1529347226024,0.07895143724553672,2.3444880074422668e-07,1002190.8,25.0
166,167.0,1.1026926845517766,5.429123031452036,1200000.0,1.8751409823692774e-06,0.2557535721161983,3032.248005799949,0.07304514297503656,2.04660368339452e-07,978771.6,25.0
167,168.0,0.996299605409083,5.375030207268104,1200000.0,1.5458960080347214e-06,0.27243826951360717,4722.734437696636,0.07329220852070101,2.498221122967134e-07,1007467.6,25.0
168,169.0,0.9681866555355364,4.372746657207479,1200000.0,1.349038387681702e-06,0.3187557574674713,3127.1254923418164,0.09896915669752865,2.1347428778038856e-07,925514.0,25.0
169,170.0,1.0416462187594138,5.027480964863521,1200000.0,1.5408620531087627e-06,0.2947120916886661,4920.515901230276,0.0775486764776318,2.238794441026054e-07,949504.4,25.0
170,171.0,0.9097938980112852,5.123363210201063,1200000.0,1.773306852895752e-06,0.2683939906479793,3215.660411655903,0.06792939951301025,2.1382425077706723e-07,922556.0,25.0
171,172.0,0.9447000517683457,5.610326433790441,1200000.0,1.5869514780600925e-06,0.25310793157417777,2472.4924136698246,0.08419777944063705,2.382295054600671e-07,1064859.6,25.0
