,Resample,RMSLE,beta,d_I,p,c,d_T,r,k_T,U_0,I_0,V_0,T_0
97,98.0,1.1863460612618155,2.2071591699524202e-05,6.775350850812177e-07,1.0,2.110872553504656,0.011,0.3590719541364038,28499.511344373226,1000000.0,0.0,25.0,1036163.6
98,99.0,1.152777873634727,2.1093188777318463e-05,6.885702693126112e-07,1.0,2.1921877322168726,0.011,0.4398483742060293,36963.13023775071,1000000.0,0.0,25.0,917279.2
99,100.0,1.1501869083667338,2.2372522066054997e-05,7.003519909197929e-07,1.0,2.2053382168165854,0.011,0.38818274881042925,30205.491149812937,1000000.0,0.0,25.0,964620.8
100,101.0,1.1534072625338567,2.0455734057566132e-05,6.845672616128003e-07,1.0,2.207482863782964,0.011,0.5746022976498253,68262.50550814718,1000000.0,0.0,25.0,906657.6
101,102.0,1.2301202473604729,2.3111049859992047e-05,6.571076787108276e-07,1.0,2.171427106810384,0.011,0.42550255895481115,30000.41722920537,1000000.0,0.0,25.0,864592.8
102,103.0,1.2172840011204538,2.223150137034642e-05,6.932833582784864e-07,1.0,2.1034986764062324,0.011,0.4891202975557434,66690.41466960311,1000000.0,0.0,25.0,1007467.6
103,104.0,1.2149021299822182,2.271937686808048e-05,6.645685458076342e-07,1.0,2.15024143294913,0.011,0.45744534503336354,45310.37955868244,1000000.0,0.0,25.0,941269.6
104,105.0,1.3428525072861321,2.1185993636589584e-05,7.076308822631433e-07,1.0,2.17652611496802,0.011,0.3928364529951338,32906.107180804014,1000000.0,0.0,25.0,986435.2
105,106.0,1.1823821668256005,2.2367990235701452e-05,7.206645259274084e-07,1.0,2.118086731107617,0.011,0.6422926432002427,105114.4452861324,1000000.0,0.0,25.0,893860.0
106,107.0,1.1713913552177952,1.9762114642609277e-05,7.110769723186087e-07,1.0,2.2282656654471964,0.011,0.5927627375534641,75251.5875082463,1000000.0,0.0,25.0,922556.0
107,108.0,1.3965947673482506,2.1410392631708026e-05,6.896404713257884e-07,1.0,2.060523357321763,0.011,0.855066621739276,186021.0034585148,1000000.0,0.0,25.0,917850.4
108,109.0,1.1869004999791277,2.1858067540235177e-05,6.773679485078105e-07,1.0,2.1593605143577577,0.011,0.6190067763056106,84465.63525172323,1000000.0,0.0,25.0,885625.2
109,110.0,1.1300718619266736,2.1678374686438615e-05,6.680821036943209e-07,1.0,2.150609244383574,0.011,0.7637428208932704,121695.70666732639,1000000.0,0.0,25.0,832938.8
110,111.0,1.2224971387986823,2.4536067952009132e-05,6.49748515941659e-07,1.0,2.101411905267092,0.011,0.32297411793949493,15943.664782561362,1000000.0,0.0,25.0,959486.8
111,112.0,1.1666726965884908,2.3537915474456217e-05,6.620901385626988e-07,1.0,2.141376158526782,0.011,0.4452664811331317,40741.834481820464,1000000.0,0.0,25.0,914892.4
112,113.0,1.0579436712141579,2.585208917715171e-05,6.647915825775343e-07,1.0,2.071310242165751,0.011,0.37973733895184125,36605.72966860235,1000000.0,0.0,25.0,1015131.2
113,114.0,1.262003863308511,2.1436287085502204e-05,6.781856582522498e-07,1.0,2.140003427910841,0.011,0.6130143724210129,94591.66400578618,1000000.0,0.0,25.0,973494.8
114,115.0,1.2005133622053956,2.050301821024708e-05,6.802549466045248e-07,1.0,2.169281680988483,0.011,0.6212909777936488,91903.54519690573,1000000.0,0.0,25.0,962444.8
115,116.0,1.225959810174215,2.290064397568674e-05,6.413019289865421e-07,1.0,2.0709893369551438,0.011,0.49441127195741075,64455.15436795354,1000000.0,0.0,25.0,1007467.6
116,117.0,1.157747472283223,2.2174341771423796e-05,6.817444596682914e-07,1.0,2.174829044266339,0.011,0.5026664045494869,48064.37765934318,1000000.0,0.0,25.0,835896.8
117,118.0,1.2312551797231415,2.2880198198949865e-05,6.696182897391871e-07,1.0,2.2060572079739202,0.011,0.3643406376686045,17712.64863614738,1000000.0,0.0,25.0,877961.6
118,119.0,1.1635957779109583,2.216409313619059e-05,6.255247996269747e-07,1.0,2.1424995347417806,0.011,0.5881438712117699,75598.53871583939,1000000.0,0.0,25.0,930790.8
119,120.0,1.2697247773231959,2.2069365037081073e-05,6.759163920653832e-07,1.0,2.148772496921623,0.011,0.3945771040845969,39522.44374834001,1000000.0,0.0,25.0,1088850.0
120,121.0,1.1505269647985703,2.2426578379947226e-05,6.825461212890311e-07,1.0,2.124404216548612,0.011,0.46345833569085215,52618.214443318546,1000000.0,0.0,25.0,970536.8
121,122.0,1.176552693190735,2.2191159200139587e-05,6.892688771839179e-07,1.0,2.0867069249983174,0.011,0.3972317584980942,45785.20021664351,1000000.0,0.0,25.0,1088850.0
122,123.0,1.2076121742385852,2.418859570077401e-05,6.74169288749015e-07,1.0,2.128444631284239,0.011,0.3973795444742336,29559.600209631026,1000000.0,0.0,25.0,896818.0
123,124.0,1.2324548473612615,2.1771005462755487e-05,7.089878382191635e-07,1.0,2.142480910512951,0.011,0.4131201728724392,42385.634648256004,1000000.0,0.0,25.0,1002190.8
124,125.0,1.1834998975575513,2.4546052809403367e-05,7.034779811696351e-07,1.0,2.1981402940996873,0.011,0.3452326857207666,19100.66935580969,1000000.0,0.0,25.0,920808.4
125,126.0,1.1976196179758622,2.2116957585283108e-05,6.89271551408868e-07,1.0,2.1151829219427967,0.011,0.5544352604980816,78378.90289127827,1000000.0,0.0,25.0,935924.8
126,127.0,1.1985748703861459,2.155019330453987e-05,6.766450388988524e-07,1.0,2.1883858452924656,0.011,0.5023523892092854,48016.63666918874,1000000.0,0.0,25.0,859887.2
127,128.0,1.137270776954788,2.2722275310654943e-05,7.292909082167858e-07,1.0,2.0960104186729325,0.011,0.5078223632441521,70612.75343121588,1000000.0,0.0,25.0,922556.0
128,129.0,1.1967251173428173,2.2920607727194104e-05,6.620446636011068e-07,1.0,2.1833283350803327,0.011,0.4265082006588585,33309.54115737975,1000000.0,0.0,25.0,917850.4
129,130.0,1.2214499891848785,2.2627140123490673e-05,6.763741425001963e-07,1.0,2.0777468540916573,0.011,0.4568708820205174,57299.58305801451,1000000.0,0.0,25.0,1004509.6
130,131.0,1.2630324289809636,2.3204121095269344e-05,6.614406761334076e-07,1.0,2.0999500952026438,0.011,0.39794064778352123,37080.57703396678,1000000.0,0.0,25.0,1007467.6
131,132.0,1.2339039006718755,2.2871441871389554e-05,6.543943218662946e-07,1.0,2.0846653176213863,0.011,0.5461787096664423,84235.13515383005,1000000.0,0.0,25.0,1028500.0
132,133.0,1.210522396682661,2.277527125567126e-05,6.626192557640257e-07,1.0,2.1446150647333297,0.011,0.42693728909002004,36905.12427084148,1000000.0,0.0,25.0,946546.4
133,134.0,1.090013494043988,2.3533832055470374e-05,6.85727661630879e-07,1.0,2.107362680018227,0.011,0.36560488665159596,30036.365696132183,1000000.0,0.0,25.0,999232.8
134,135.0,1.2040321623168053,2.4232686678197886e-05,6.648293898067376e-07,1.0,2.1583361203744715,0.011,0.3113291114598198,13499.00012806803,1000000.0,0.0,25.0,967578.8
135,136.0,1.187946437097509,2.0925983975076786e-05,6.756111984796003e-07,1.0,2.1417336234985953,0.011,0.6628046403940502,103775.35420805216,1000000.0,0.0,25.0,922556.0
136,137.0,1.1281054136501842,2.005342630333432e-05,7.145110499983878e-07,1.0,2.1785062484046875,0.011,0.7817115985417971,147565.42791315913,1000000.0,0.0,25.0,983477.2
137,138.0,1.138060790758038,2.2965656250535448e-05,6.511121829897088e-07,1.0,2.1428372071747006,0.011,0.3973903206290501,27738.911096207798,1000000.0,0.0,25.0,917850.4
138,139.0,1.2031703130677438,2.0793602239618285e-05,6.998552190839335e-07,1.0,2.1569738801436458,0.011,0.7578866722672188,138285.283305794,1000000.0,0.0,25.0,946546.4
139,140.0,1.1544459845395698,2.144937017759891e-05,6.815898591844619e-07,1.0,2.1126822115014647,0.011,0.5427417449853067,77062.69717092812,1000000.0,0.0,25.0,975813.6
140,141.0,1.1882898499001406,2.3479453414848815e-05,6.79562624205476e-07,1.0,2.1678365065827165,0.011,0.4067011025396994,25999.505831599236,1000000.0,0.0,25.0,827662.0
141,142.0,1.2568941395440192,2.4886546394707886e-05,6.983713640250136e-07,1.0,2.150863756089038,0.011,0.31307481470229703,15613.396419607103,1000000.0,0.0,25.0,943588.4
142,143.0,1.096281471985774,2.0763817918890648e-05,7.079932084731939e-07,1.0,2.2009224617540397,0.011,0.5337587948622229,66010.26334092766,1000000.0,0.0,25.0,951823.2
143,144.0,1.2583765904153543,2.360999498286966e-05,6.602089398445693e-07,1.0,2.1009546941160124,0.011,0.3740917581566876,30147.390609666705,1000000.0,0.0,25.0,999232.8
144,145.0,1.1738472713102945,2.122204290427986e-05,6.794022024785617e-07,1.0,2.1066341752321094,0.011,0.7730815238234996,144377.04334428906,1000000.0,0.0,25.0,914892.4
145,146.0,1.110853416595186,2.3898205661375565e-05,6.816858058773201e-07,1.0,2.201745500840815,0.011,0.39233243375809934,20279.510388873518,1000000.0,0.0,25.0,798966.0
146,147.0,1.268963101508789,2.05436118526693e-05,6.989043638449798e-07,1.0,2.1679053553215297,0.011,0.5627036032310642,75376.28595642745,1000000.0,0.0,25.0,954781.2
147,148.0,1.2418361722488471,2.2839258787004375e-05,6.547427508170727e-07,1.0,2.1032860421801374,0.011,0.4349060086309464,45606.30882303417,1000000.0,0.0,25.0,1004509.6
148,149.0,1.1944673397642143,2.4149749713283837e-05,6.515302620977445e-07,1.0,2.0640961134143723,0.011,0.38067368608989227,38696.15617903322,1000000.0,0.0,25.0,1067817.6
149,150.0,1.2233070643682393,2.1560982748840416e-05,6.661959497593922e-07,1.0,2.165313736771566,0.011,0.4482671579249171,44673.99959523231,1000000.0,0.0,25.0,999232.8
150,151.0,1.1015172657267533,2.1957356622849463e-05,6.604799365848762e-07,1.0,2.117242453654839,0.011,0.6434960360038531,111681.76543876529,1000000.0,0.0,25.0,1025542.0
151,152.0,1.0704569091346983,2.082750900703358e-05,7.279274683436095e-07,1.0,2.1800407332051464,0.011,0.5393011047556868,71927.78026255965,1000000.0,0.0,25.0,957739.2
