,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
129,130.0,1.886748454983154,85.66390610243931,1200000.0,5.0243560866983255e-05,6.806324905260137e-05,0.012,0.7869347712900785,378465.3333333333,25.0
130,131.0,1.131632572424519,2.864245346842914,1200000.0,1.5570104791404288e-06,4.263554431032256e-06,0.012,0.20590329914197297,517910.6666666667,25.0
131,132.0,1.942995604934772,82.44817485764719,1200000.0,4.1679464651085076e-05,7.650115864564296e-05,0.012,0.8105315280705871,436945.3333333333,25.0
132,133.0,2.052188949682537,82.79321521488538,1200000.0,4.368767646484577e-05,7.440363952658823e-05,0.012,0.7975460487340965,418948.0,25.0
133,134.0,2.009729334182553,82.90650577222533,1200000.0,3.090179812000878e-05,7.677912120818316e-05,0.012,0.8076123005605648,616873.3333333334,25.0
134,135.0,2.261832046666028,99.99998485125181,1200000.0,3.583838331295105e-05,8.615495059316584e-06,0.012,0.9999996492621889,477428.0,25.0
135,136.0,1.1504534106922675,3.436984896312026,1200000.0,2.3444574751489526e-06,4.644656774795449e-06,0.012,0.17460103131316562,576390.6666666666,25.0
136,137.0,2.057109199808863,99.9999971841771,1200000.0,4.534311404372653e-05,8.392946246401171e-06,0.012,0.9999999071048413,378465.3333333333,25.0
137,138.0,2.1503219606123136,84.24244509118438,1200000.0,3.341375250374085e-05,7.007692758290014e-05,0.012,0.8052629050382623,576390.6666666666,25.0
138,139.0,1.2905557588842818,2.4574651358677073,1200000.0,1.4546751977614339e-06,6.221723384425176e-06,0.012,0.2631146867447136,378465.3333333333,25.0
139,140.0,1.9545417907105096,88.92242796719616,1200000.0,5.356882988613544e-05,6.489541045846746e-05,0.012,0.773658429146459,378465.3333333333,25.0
140,141.0,2.050909397257908,99.99999785999674,1200000.0,3.933156337646954e-05,8.405097334487955e-06,0.012,0.9999999204891274,436945.3333333333,25.0
141,142.0,2.2753247306429967,87.03042428034043,1200000.0,3.2711340633194874e-05,6.883392597642678e-05,0.012,0.782272065266014,616873.3333333334,25.0
