,Resample,RMSLE,p,k_V,c_V,r,d_T,T_0,V_0
88,89.0,1.3675601361745449,2.385898566529626,1200000.0,1.6453140641184435e-06,5.461356695044846e-06,0.012,477428.0,25.0
89,90.0,1.4039625251185726,3.115253040290085,1200000.0,2.518267036125734e-06,3.09504226930337e-06,0.012,477428.0,25.0
90,91.0,1.4347747830178739,2.70773521193658,1200000.0,2.47645073193775e-06,3.797750307719327e-06,0.012,378465.3333333333,25.0
91,92.0,1.300354855191794,2.8497157362988474,1200000.0,2.258596625912836e-06,3.924203851738697e-06,0.012,477428.0,25.0
92,93.0,1.268789501531485,2.73145588187338,1200000.0,1.8522758072903248e-06,4.97800422400244e-06,0.012,576390.6666666666,25.0
93,94.0,1.329752425455565,2.5818636548254617,1200000.0,1.6510658954299495e-06,6.481465950647411e-06,0.012,616873.3333333334,25.0
94,95.0,1.5809035568763834,2.464691266308016,1200000.0,2.400668645334187e-06,5.20286427730422e-06,0.012,337982.6666666667,25.0
95,96.0,1.431873880647429,2.539298824085499,1200000.0,2.012194345895917e-06,4.423014921795131e-06,0.012,418948.0,25.0
96,97.0,1.4391374516751814,2.4689483553155753,1200000.0,2.1843523642356405e-06,4.191332578706099e-06,0.012,337982.6666666667,25.0
97,98.0,1.3431478679201176,2.7670722371009617,1200000.0,2.330500873973461e-06,5.069924686811694e-06,0.012,477428.0,25.0
98,99.0,1.4444085761598602,2.3925498116800554,1200000.0,2.384175086326069e-06,6.073155596715716e-06,0.012,337982.6666666667,25.0
99,100.0,1.2269817918408812,3.3983317569317677,1200000.0,2.5977930394190414e-06,3.78081386626987e-06,0.012,616873.3333333334,25.0
100,101.0,1.369315489284736,2.584918168944249,1200000.0,2.1997943588062692e-06,4.040367098373355e-06,0.012,378465.3333333333,25.0
101,102.0,1.3428040615442294,3.709890242168946,1200000.0,3.0560715673228273e-06,3.66159118899605e-06,0.012,616873.3333333334,25.0
