,Resample,RMSLE,p,k_V,c_V,r,d_T,c_T,T_0,V_0
92,93.0,1.0672763705440396,5.453129903963472,1200000.0,2.229310457952581e-06,1.2820030062882375e-06,0.011,0.13144144375178535,912573.6,25.0
93,94.0,1.080749953495352,6.201492870349789,1200000.0,2.4723602909640548e-06,1.0254439127018765e-06,0.011,0.13349723304925853,1039121.6,25.0
94,95.0,1.1229491053183587,5.376347086330377,1200000.0,2.0318304298425343e-06,1.3936737206849111e-06,0.011,0.12912439919370333,1028500.0,25.0
95,96.0,1.1716297457742877,5.455702774824736,1200000.0,2.0987235601893837e-06,1.2818028939282257e-06,0.011,0.13538088834002193,1002190.8,25.0
96,97.0,0.9871307367713554,5.8101083467745696,1200000.0,2.3262685329166987e-06,1.2165328783757804e-06,0.011,0.12786597228373675,999232.8,25.0
97,98.0,1.047329976458206,5.988460280410187,1200000.0,2.372586767654569e-06,1.0734450025737523e-06,0.011,0.13814481317178984,1036163.6,25.0
98,99.0,1.048207882464019,4.892515371904885,1200000.0,1.8622691124113274e-06,1.5675368773538536e-06,0.011,0.1219755092079654,917279.2,25.0
99,100.0,1.0608942736671523,5.615651353387015,1200000.0,2.311171559166198e-06,1.31667658270534e-06,0.011,0.12633500135842035,964620.8,25.0
100,101.0,1.0323233531375726,4.675016915935323,1200000.0,1.7548828945625577e-06,1.7138217705737848e-06,0.011,0.12230779129704594,906657.6,25.0
101,102.0,1.0927478458852249,4.876483330772608,1200000.0,1.8361162568467405e-06,1.5036795786012332e-06,0.011,0.12817814436008534,864592.8,25.0
102,103.0,1.0979466478817084,5.85742787227484,1200000.0,2.3464640688572837e-06,1.1574691510288262e-06,0.011,0.13470777216878427,1007467.6,25.0
103,104.0,1.1270516684078824,5.261869366085463,1200000.0,2.0309606692183957e-06,1.4445671554020917e-06,0.011,0.10585384574890344,941269.6,25.0
104,105.0,1.204249271492552,5.430044347844259,1200000.0,2.146016717016954e-06,1.3320164820281922e-06,0.011,0.13670268501101268,986435.2,25.0
105,106.0,1.0532776213770016,5.332255386642835,1200000.0,2.194970808852815e-06,1.3877632516334776e-06,0.011,0.12472888006871835,893860.0,25.0
106,107.0,1.0489174421702592,4.643871647359255,1200000.0,1.8089097741423471e-06,1.8505273849137797e-06,0.011,0.10642144340570653,922556.0,25.0
